Timestamp,Alert
2023-10-01 01:01:52,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 150.3F
2023-10-01 01:01:57,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 150.4F
2023-10-01 01:02:02,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 150.5F
2023-10-01 01:02:12,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 150.7F
2023-10-01 01:02:16,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 150.8F
2023-10-01 01:02:17,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 150.8F
2023-10-01 01:02:21,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 150.9F
2023-10-01 01:02:22,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 150.9F
2023-10-01 01:02:26,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.0F
2023-10-01 01:02:27,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.0F
2023-10-01 01:02:31,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.3F
2023-10-01 01:02:31,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.1F
2023-10-01 01:02:32,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.1F
2023-10-01 01:02:37,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.4F
2023-10-01 01:02:37,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.2F
2023-10-01 01:02:38,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.2F
2023-10-01 01:02:42,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.5F
2023-10-01 01:02:42,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.3F
2023-10-01 01:02:43,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.3F
2023-10-01 01:02:47,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.6F
2023-10-01 01:02:47,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.3F
2023-10-01 01:02:48,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.3F
2023-10-01 01:02:51,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.7F
2023-10-01 01:02:52,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.7F
2023-10-01 01:02:52,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.4F
2023-10-01 01:02:53,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.4F
2023-10-01 01:02:56,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.8F
2023-10-01 01:02:57,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.8F
2023-10-01 01:02:57,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.5F
2023-10-01 01:02:58,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.5F
2023-10-01 01:03:01,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.9F
2023-10-01 01:03:02,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.9F
2023-10-01 01:03:02,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.5F
2023-10-01 01:03:03,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.5F
2023-10-01 01:03:06,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.9F
2023-10-01 01:03:07,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 159.9F
2023-10-01 01:03:07,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.6F
2023-10-01 01:03:08,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.6F
2023-10-01 01:03:11,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.0F
2023-10-01 01:03:12,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.0F
2023-10-01 01:03:12,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.7F
2023-10-01 01:03:13,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.7F
2023-10-01 01:03:16,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.1F
2023-10-01 01:03:17,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.1F
2023-10-01 01:03:17,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.7F
2023-10-01 01:03:18,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.7F
2023-10-01 01:03:21,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.1F
2023-10-01 01:03:22,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.1F
2023-10-01 01:03:22,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.8F
2023-10-01 01:03:23,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.8F
2023-10-01 01:03:27,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.2F
2023-10-01 01:03:28,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.2F
2023-10-01 01:03:28,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.9F
2023-10-01 01:03:29,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.9F
2023-10-01 01:03:32,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.2F
2023-10-01 01:03:33,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.2F
2023-10-01 01:03:33,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.9F
2023-10-01 01:03:34,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 151.9F
2023-10-01 01:03:37,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.3F
2023-10-01 01:03:38,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.3F
2023-10-01 01:03:38,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 152.0F
2023-10-01 01:03:39,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 152.0F
2023-10-01 01:03:42,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.3F
2023-10-01 01:03:43,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.3F
2023-10-01 01:03:43,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 152.0F
2023-10-01 01:03:44,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 152.0F
2023-10-01 01:03:47,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.3F
2023-10-01 01:03:48,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.3F
2023-10-01 01:03:48,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 152.1F
2023-10-01 01:03:49,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 152.1F
2023-10-01 01:03:52,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.3F
2023-10-01 01:03:53,Food Stall Alert for Food A! Temperature changed less than 1F in 10 minutes. Current Temp: 160.3F
2023-10-01 01:03:53,Food Stall Alert for Food B! Temperature changed less than 1F in 10 minutes. Current Temp: 152.1F
